token_addr_idx,top1_holder_ratio,pair_holder_ratio,top10_holder_ratio,top20_holder_ratio,token_creator_holder_ratio,price_ratio_realized_vol,price_ratio_range,reserve_base_realized_vol,reserve_quote_realized_vol,swap_buy_share,swap_net_flow_ratio,swap_direction_switch_freq
10,0.5217,0.0,0.9114000000000001,1.0001,0.0,0.020642279714178292,2.091192724099999,5.56650144257938,7.732199747962343,0.026613638512901775,-0.9467727229741966,0.07407407407407407
11,0.9989,0.0,0.9997999999999999,0.9997999999999999,0.9989,0.004768081510629652,0.6572326422000003,7.199260100282772,9.188023924896758,0.0,-1.0,0.0
12,1.0,0.0,1.0,1.0,1.0,6.060427197469698,4.8888650814443,20.5320076846265,15.344849039736426,0.0,0.0,0.0
13,0.9996,0.0,0.9998,0.9998,0.9996,1.9208704924287385,4.8891865040494995,6.673396608765627,5.142377112332058,0.0,-1.0,0.0
14,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.6682,0.0003,0.9999,0.9999,0.0,0.027189099712170584,5.124198494,0.018926928085205477,0.19950664523282122,0.5836251351094103,0.1672502702188205,0.3617021276595745
17,0.9504,0.0,0.9996999999999999,0.9999,0.9504,0.005133053946549438,0.5984515936400001,6.743283420021819,7.901229539346654,0.1202356733515874,-0.7595286532968252,0.08695652173913043
18,0.8997,0.0,0.9999,0.9999,0.0,0.013889974285581556,3.1601674288399995,2.1641520812715695,2.7419700884101195,0.4758365753447517,-0.0483268493104966,0.5165876777251185
19,0.9452,0.0292,0.9999000000000001,0.9999000000000001,0.9452,0.004187325336552771,0.5518730116999997,0.039628097674061204,0.6325231389644306,0.36148938208457465,-0.27702123583085075,0.35
20,0.9023,0.0,0.9971,0.9990999999999999,0.9023,0.018004766909499436,2.7867649192399995,0.05383188448970964,0.3673492060554608,0.29817724752512786,-0.4036455049497444,0.23157894736842105
21,0.5039,0.5039,0.9999,0.9999,0.0,0.024101895988221808,1.5316833803000023,0.02656035349630058,0.44919908850157086,0.2748061014386716,-0.45038779712265686,0.4
22,1.0,0.0,1.0,1.0,1.0,0.0047590953305328134,0.14488222660000005,0.03258382924634512,0.269953101908589,0.0,-1.0,0.0
23,1.0,0.0,1.0,1.0,1.0,0.05670456206047003,0.8561365653999999,29.685833484364277,42.52644997341611,0.0,0.0,0.0
24,0.2891,0.0226,0.8913000000000001,0.9936000000000001,0.1428,0.611248413027885,7.006851256699401,2.4584484675723126,2.8271377584792323,0.3104547801560571,-0.3790904396878859,0.38961038961038963
25,0.608,0.1036,0.9895999999999999,0.9979999999999998,0.608,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,0.8699,0.0,0.9999999999999999,0.9999999999999999,0.8699,0.023749799134885966,0.8910549826999983,15.15953403849129,20.163111501283392,0.0,-1.0,0.0
27,1.0,0.0,1.0,1.0,0.0,0.18512037211349333,1.5331038073699994,10.211168188134573,11.022982064127744,0.12031398899746172,-0.7593720220050765,0.5
28,0.998,0.0,0.9995999999999999,1.0,0.998,0.0040963505379234075,0.4525286682299994,6.703777014996193,7.893047487144309,0.1322694990717535,-0.735461001856493,0.08695652173913043
29,0.9997,0.0,1.0,1.0,0.9997,0.1850190135513078,2.90304559459,16.26130962836577,17.85232317551136,1.0,1.0,0.0
30,0.879,0.0,0.9998,1.0,0.879,0.07743852563495027,4.0982880213,2.701332583040441,5.637547448901018,0.0,-1.0,0.0
31,1.0,0.0,1.0,1.0,1.0,0.024781353694456148,0.1083888688400001,1.4088951002738637,2.769029555606734,0.0,-1.0,0.0
32,1.0,0.0,1.0,1.0,1.0,0.028125969728717646,2.3286356378999997,6.717486534532317,9.419108894027227,0.30798304739908844,-0.38403390520182307,0.3333333333333333
33,0.7262,0.0,0.9998999999999999,0.9998999999999999,0.0,0.021603375187822727,0.6598554521000004,17.0827784778628,22.345431206599898,0.31339637291293054,-0.37320725417413897,0.3333333333333333
34,0.9998,0.0,0.9999,0.9999,0.9998,0.002722918014111304,0.14029248459999977,10.849825945467082,13.476321728604093,0.0,-1.0,0.0
35,0.979,0.0,1.0,1.0,0.979,0.09913411316949299,1.4890768055699999,26.302309109528547,29.672528829106486,0.14311585416322398,-0.7137682916735519,0.6666666666666666
36,0.8998,0.0,1.0001,1.0001,0.0,0.022664603621281955,2.0635654429,15.905851706590969,21.747501987358977,0.33793330782121234,-0.32413338435757544,0.5333333333333333
37,1.0,0.0,1.0,1.0,1.0,0.0018205275887943628,0.012566136709999398,33.018408690260735,37.614282850511515,0.0,0.0,0.0
38,0.9819,0.0,1.0,1.0,0.9819,0.01798276757154267,0.20568072598000064,23.227261806406883,26.82001316749616,0.0,-1.0,0.0
39,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,0.9892,0.0,0.9961999999999999,0.9987999999999998,0.9892,0.005999269815964527,1.2372635721799998,4.381724202792115,5.118942751280731,0.20708684486344264,-0.5858263102731147,0.24561403508771928
42,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,0.9822,0.0,0.9954999999999999,0.9984,0.9822,0.006543011457219583,0.40943539878000035,6.008399878476385,7.095423490916309,0.21539927222430097,-0.569201455551398,0.20689655172413793
44,0.9126,0.0,0.9999,0.9999,0.9126,0.009283987218469542,0.5061216133999995,6.175421911375782,9.968919061516983,0.25971925434923815,-0.4805614913015236,0.2857142857142857
45,0.9991,0.0,1.0,1.0,0.9991,0.0033365310776774047,0.26322323631,4.337564512345216,5.12270416668221,0.1827205722266274,-0.6345588555467453,0.047619047619047616
46,0.9832,0.9832,0.9981,0.9996999999999998,0.0,0.4905069637412124,3.660007833242,0.1247235267769627,0.2241624057518178,0.19308239046445158,-0.6138352190710968,0.5294117647058824
47,0.9998,0.0,1.0,1.0,0.9998,0.008323039200073887,0.08736448339000003,9.049729481251491,9.689519679087992,0.030868427333439818,-0.9382631453331204,0.5384615384615384
48,0.9001,0.0,1.0,1.0,0.9001,4.9694614430331745,6.90749215588913,22.289281547217065,22.141183018935347,0.0,-1.0,0.0
49,0.9993,0.0,0.9995999999999999,0.9995999999999999,0.9993,0.25043793083937044,42.26888581969,6.445727294081336,5.665320483459683,0.2890633386403153,-0.42187332271936945,0.38636363636363635
50,0.9996,0.0,0.9999,0.9999,0.9996,0.007084792804603939,0.2245198955600003,8.70475425434691,10.819712141473664,0.09632853702042113,-0.8073429259591577,0.16666666666666666
51,0.9996,0.0,1.0,1.0,0.9996,0.024511622444388863,0.6153038341000006,6.812282852366727,8.441428674620694,0.3857211437610304,-0.22855771247793935,0.5714285714285714
52,0.9998,0.0,1.0,1.0,0.9998,0.017800847709680854,0.13765867745000016,21.45285388850875,23.024016777394,0.3676214274790021,-0.26475714504199577,0.5
53,0.999,0.0,0.9999999999999999,0.9999999999999999,0.999,0.010300890916121604,1.449900651290001,9.387983713374423,11.682730535407451,0.32278262154482273,-0.35443475691035453,0.2903225806451613
54,0.9965,0.0,0.9982,0.9992,0.9965,0.009643713963604405,1.07870452553,4.060743260449709,5.014594911034675,0.15838482356755582,-0.6832303528648885,0.15873015873015872
55,0.9996,0.0,0.9999,0.9999,0.9996,0.0027666710561590085,0.14594372814999979,9.771690961099683,12.300530465848409,0.1735442710437359,-0.6529114579125281,0.3333333333333333
56,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,1.0,0.0,1.0,1.0,1.0,0.08163453567914607,1.6094179131000015,12.08374378709474,16.008982173544798,0.0,0.0,0.0
58,1.0,0.0,1.0,1.0,1.0,0.011515750880822804,0.1958624118700012,8.021724189836121,10.062128147095702,0.22077118718447836,-0.5584576256310433,0.5
59,0.9986,0.0,0.9999,0.9999,0.9986,0.007659164378929212,0.4877540643000007,15.099471285858312,19.613549877186344,0.13425299651164374,-0.7314940069767125,0.1111111111111111
60,0.491,0.0,0.9998999999999999,0.9998999999999999,0.298,0.019823328535876702,2.5675619841099984,0.009217560361991041,0.05783919081091555,0.6545118484079996,0.30902369681599917,0.2916666666666667
61,0.9999,0.0,0.9999,0.9999,0.9999,0.09171427544139203,2.26122049804,7.095368310161363,8.358388304183435,0.06632542830752644,-0.8673491433849472,0.6666666666666666
62,0.9976,0.0,0.9993,0.9996,0.9976,0.0072145590971052186,1.3143117368699997,3.533912237418627,4.421364364847151,0.2293423638859411,-0.5413152722281178,0.3132530120481928
